word,synonym
스커트,skirt;sk;skirts
팬츠,pants;pt;pant
원피스,ops;onepiece;one-piece
블라우스,blouse;bl
리넨,linen
재킷,자켓;jk;jacket
슬랙스,slacks;slack
드레스,dress
티,tee;T
청바지,jeans;jean;denim;데님
탑,top
나시,sleeveless;슬리브리스
프릴,frill
비키니,bikini
니트,knit;nt
셔츠,shirts;shirt
스트라이프,stripe
점프수트,jumpsuit
밴딩,banding
플라워,flower
반바지,shorts
리본,ribbon
버튼,button
체크,check
도트,dot
코트,coat;ct
벨벳,velvet
패딩,padding
가디건,cardigan;cd
점퍼,jumper;jp
부츠,boots
울,wool
무스탕,mustang
앙고라,angora
머플러,muffler
롱,long
이어링,earring;earrings
맨투맨,mtm
슬림,slim
벨트,belt
퍼,fur
랩,wrap
베스트,vest
언발란스,unbalance;언;unbal
겨울,winter
플레어,flare
폴라,pola
터틀넥,turtleneck
레이스,lace
데일리,daily
히든,hidden
스트레이트,straight
남방,nb
핑크,pink
미니,mini
플로랄,floral
빈티지,vintage
라운드,round;라운딩;둥근
카라,kara
세미,semi
배기,baggy
트렌치,trench
박시,boxy
셔링,shirring
큐빅,cubic
후드,hood
스키니,skinny
포켓,pocket
밴드,band
포인트,point
블루,blue
세일러,sailor
세트,set
베이직,basic
소프트,soft
솔리드,solid
블랙,black
레드,red
면,코튼;cotton
와이드,wide
브라,bra
브이,v
빅,big
넥,neck
야상,yasang
러블리,lovely
라인,line
콤비,combi
더블,double
볼륨,volume
로브,robe
스노우,snow
칼라,collar
터틀,turtle
버클,buckle
슬릿,slit
스티치,stitch
헤링본,herringbone
가죽,leather;레더
워싱,washing
화이트,white
베이지,beige
슬립,slip
레터링,lettering
컷팅,커팅;cutting
린넨,linen
플리츠,pleats;pleated
부츠컷,bootcut
골지,golgi
쉬폰,chiffon;시폰
핸드메이드,handmade
오프숄더,offshoulder;off-shoulder
오프,off
숄더,shoulder
퍼,fur;털
푸들,poodle
숏,short
심플,simple
머메이드,mermaid
싱글,single
뷔스티에,bustier
크롭,crop
벌룬,풍선;balloon
레이어드,layered
라벨,label
스퀘어,사각;square
모던,modern
레깅스,leggings
트위드,tweed
